,Symbol,Description
1359,HLX,Helix Energy Solutions Group
1360,HMC,Honda Motor Company
1361,HMI,Huami Corp ADR
1362,HML-A,Hoegh Lng Partners LP [Hmlp/Pa]
1363,HMLP,Hoegh Lng Partners LP
1364,HMN,Horace Mann Educators Corp
1365,HMY,Harmony Gold Mining Co. Ltd
1366,HNGR,Hanger Inc
1367,HNI,Hon Industries Inc
1368,HNP,Huaneng Power Intl
1369,HOG,Harley-Davidson Inc
1370,HOME,At Home Group Inc
1371,HON,Honeywell International Inc
1372,HOV,Hovnanian Enterprises Inc
1373,HP,Helmerich & Payne
1374,HPE,Hewlett Packard Enterprise Comp
1375,HPF,John Hancock Pfd II
1376,HPI,John Hancock Preferred
1377,HPP,Hudson Pacific Properties
1378,HPQ,Hp Inc
1379,HPR,Highpoint Resources Corp
1380,HPS,John Hancock Preferred Income Fund III
1381,HQH,Tekla Healthcare Investors
1382,HQL,Tekla Life Sciences Investors
1383,HR,Healthcare Realty Trust Inc
1384,HRB,H&R Block
1385,HRC,Hill-Rom Holdings Inc
1386,HRI,Herc Holdings Inc
1387,HRL,Hormel Foods Corp
1388,HRTG,Heritage Insurance Holdings
1389,HSB-A,HSBC Hlds Plc [Hsbc/Pa]
1390,HSBC,HSBC Holdings Plc
1391,HSC,Harsco Corp
1392,HST,Host Marriott Financial Trust
1393,HSY,Hershey Foods Corp
1394,HT,Hersha Hospitality Trust
1395,HT-C,Hersha Hospitality TR [Ht/Pc]
1396,HT-D,Hersha Hospitality TR [Ht/Pd]
1397,HT-E,Hersha Hospitality TR [Ht/Pe]
1398,HTA,Healthcare Trust of America
1399,HTD,John Hancock Tax Advantaged Dividend
1400,HTFA,Horizon Technology Finance 6.25% Notes Due 2022
1401,HTGC,Hercules Technology Growth Capital
1402,HTH,Hilltop Holdings Inc
1403,HTY,John Hancock Tax-Advantaged Global
1404,HTZ,Hertz Global Holdings Inc
1405,HUBB,Hubbell Inc B
1406,HUBS,Hubspot Inc
1407,HUD,Hudson Ltd Cl A
1408,HUM,Humana Inc
1409,HUN,Huntsman Corp
1410,HUYA,Huya Inc
1411,HVT,Haverty Furniture Companies
1412,HVT.A,Haverty Furn Cl A SC
1413,HXL,Hexcel Corp
1414,HY,Hyster-Yale Materials Handling
1415,HYB,New America High
1416,HYI,Western Asset High Yield Defined
1417,HYT,Blackrock High Yield Fund Vi Inc
1418,HZN,Horizon Global Corp Comm
1419,HZO,Marinemax Inc
1420,I,Intelsat S.A.
1421,IAA,Iaa Inc
1422,IAE,VOYA Asia Pacific High Dividend Equity
1423,IAG,Iamgold Corp
1424,IBA,Industrias Bachoco S.A. DE C.V.
1425,IBM,International Business Machines
1426,IBN,Icici Bank Ltd
1427,IBP,Installed Building Products
1428,ICD,Independence Contract Drilling Inc
1429,ICE,Intercontinental Exchange
1430,ICL,Israel Chemicals Ltd
1431,IDA,Idacorp Inc
1432,IDE,VOYA Infrastructure Industrial
1433,IDT,IDT Corp
1434,IEX,Idex Corp
1435,IFF,International Flavors & Fragrances
1436,IFFT,International Flavors & Fragrances Inc
1437,IFN,India Fund
1438,IFS,Intercorp Financial Services Inc
1439,IGA,VOYA Global Advantage and Premium
1440,IGD,VOYA Global Equity Dividend and Premium
1441,IGI,Western Asset Investment Grade Defined
1442,IGR,VOYA Clarion Global Real Estate
1443,IGT,International Game Technology
1444,IHC,Independence Holding Company
1445,IHD,VOYA Emerging Markets High Dividend
1446,IHG,Intercontinental Hotels Group
1447,IHIT,Invesco High Income 2023 Target Term Fund
1448,IHTA,Invesco High Income 2024 Target Term Fund
1449,IID,VOYA International High Dividend Equity
1450,IIF,Morgan Stanley India Investment Fund Inc
1451,IIM,Invesco Insured Muni Income Trust
1452,IIP-A,Innovative Indl Pptys Inc [Iipr/Pa]
1453,IIPR,Innovative Industrial Properties
1454,IMAX,Imax Corp
1455,INF,Brookfield Global Listed Infra
1456,INFO,IHS Markit Ltd
1457,INFY,Infosys Ltd
1458,ING,ING Groep N.V. ADR
1459,INGR,Ingredion Inc
1460,INN,Summit Hotel Properties
1461,INN-D,Summit Hotel Pptys Inc [Inn/Pd]
1462,INN-E,Summit Hotel Pptys Inc [Inn/Pe]
1463,INS-A,International Seaways Inc [Insw/Pa]
1464,INSI,Insight Select Income Fund
1465,INSP,Inspire Medical Systems Inc
1466,INST,Instructure Inc
1467,INSW,International Seaways Inc
1468,INT,World Fuel Services Corp
1469,INVH,Invitation Homes Inc
1470,INXN,Interxion Holding N.V.
1471,IO,ION Geophysical Corp
1472,IP,International Paper Company
1473,IPG,Interpublic Group of Companies
1474,IPHI,Inphi Corp
1475,IPI,Intrepid Potash Inc
1476,IPV,Interprivate Acquisition Corp
1477,IPV.U,Interprivate Acquisition Corp
1478,IPV.W,Interprivate Acquisition Corp. Redeemable Warran
1479,IQI,Invesco Quality Muni Income Trust
1480,IQV,Iqvia Holdings Inc
1481,IR,Ingersoll Rand Inc.
1482,IRE-C,Investors Real Estate TR [Iret/Pc]
1483,IRET,Investors Real Estate Trust
1484,IRL,Irish Investment Fund
1485,IRM,Iron Mountain Inc
1486,IRR,VOYA Risk Managed Natural Resources Fund
1487,IRS,Irsa Inversiones Y Representaciones S.A.
1488,IRT,Independence Realty Trust Inc
1489,ISD,Prudential Short Duration High
1490,ISG,ING Group N.V. Perpetual Dent Secs 6.125%
1491,IT,Gartner Inc
1492,ITCB,Itau Corpbanca
1493,ITGR,Integer Holdings Corp
1494,ITT,ITT Inc
1495,ITUB,Itau Unibanco Banco Holding S.A.
1496,ITW,Illinois Tool Works Inc
1497,IVC,Invacare Corp
1498,IVH,Ivy High Income Opportunities
1499,IVR,Invesco Mortgage Capital Inc
1500,IVR-A,Invesco Mortgage Capital Inc [Ivr/Pa]
1501,IVR-B,Invesco Mortgage Capital Inc [Ivr/Pb]
1502,IVR-C,Invesco Mortgage Capital Inc [Ivr/Pc]
1503,IVZ,Invesco Plc
1504,IX,Orix Corp ADR
1505,J,Jacobs Engineering Group Inc
1506,JAX,J. Alexander's Holdings Inc C
1507,JBGS,Jbg Smith Properties
1508,JBK,Lehman Abs Corp
1509,JBL,Jabil Circuit
1510,JBN,Select Asset Inc
1511,JBR,Select Asset Inc
1512,JBT,John Bean Technologies Corp
1513,JCA-B,Jernigan Cap Inc [Jcap/Pb]
1514,JCAP,Jernigan Capital Inc
1515,JCE,Nuveen Core Equity Alpha Fund
1516,JCI,Johnson Controls Intl
1517,JCO,Nuveen Credit Opportunities 2022 Target Term Fun
1518,JCP,J.C. Penney Company Inc
1519,JDD,Nuveen Diversified Dividend and
1520,JE,Just Energy Group Inc
1521,JE-A,Just Energy Group Inc [Je/Pa]
1522,JEF,Jefferies Financial Group Inc
1523,JELD,Jeld-Wen Holding Inc
1524,JEMD,Nuveen Emerging Markets Debt 2022 Target Term Fu
1525,JEQ,Japan Equity Fund
1526,JFR,Nuveen Floating Rate
1527,JGH,Nuveen Global High Income Fund
1528,JHAA,Nuveen High Income 2023 Target Term Fund
1529,JHB,Nuveen High Income November 2021 Target Term Fun
1530,JHG,Janus Henderson Group Plc
1531,JHI,John Hancock Investors Trust
1532,JHS,John Hancock Income Securities Trust
1533,JHX,James Hardie Industries Se
1534,JHY,Nuveen High Income 2020 Target
1535,JIH,Juniper Industrial Holdings Inc Cl A
1536,JIH.U,Juniper Industrial Holdings Inc Units Each Con
1537,JIH.W,Juniper Industrial Holdings WT
1538,JILL,J. Jill Inc
1539,JKS,Jinkosolar Holding Company Ltd
1540,JLL,Jones Lang Lasalle Inc
1541,JLS,Nuveen Mortgage Opportunity Term Fund
1542,JMEI,Jumei International Holding Ltd
1543,JMF,Nuveen Energy MLP Total Return Fund
1544,JMIA,Jumia Technologies Ag ADR
1545,JMLP,Nuveen All Cap Energy MLP Oppo
1546,JMM,Nuveen Multi-Market Income Fund Inc
1547,JMP,JMP Group Inc
1548,JNJ,Johnson & Johnson
1549,JNPR,Juniper Networks
1550,JOE,St. Joe Company
1551,JOF,Japan Smaller Capitalization Fund Inc
1552,JP,Jupai Holdings Ltd
1553,JPC,Nuveen Preferred and Convertible
1554,JPI,Nuveen Preferred and Income Term Fund
1555,JPM,JP Morgan Chase & Company
1556,JPM-C,Jpmorgan Chase & Co. [Jpm/Pc]
1557,JPM-D,Jpmorgan Chase & Co. [Jpm/Pd]
1558,JPM-G,Jpmorgan Chase & Co. [Jpm/Pg]
1559,JPM-H,Jpmorgan Chase & Co. [Jpm/Ph]
1560,JPM-J,Jpmorgan Chase & Co. Prf Perpetual USD 1/400Th I
1561,JPS,Nuveen Quality Preferred 2
1562,JPT,Nuveen Preferred and Income 2022 Term Fund
1563,JQC,Nuveen Preferred and Convertible 2
1564,JRI,Nuveen Real Asset Income and Gr
1565,JRO,Nuveen Floating Rate Income Opportuntiy
1566,JRS,Nuveen Real Estate Fund
1567,JSD,Nuveen Short Duration Credit O
1568,JT,Jianpu Technology Inc
1569,JTA,Nuveen Tax-Advantaged Total Return
1570,JTD,Nuveen Tax-Advantaged Dividend Growth
1571,JW.A,John Wiley Sons Cl A
1572,JW.B,John Wiley Sons Cl B
1573,JWN,Nordstrom
1574,K,Kellogg Company
1575,KAI,Kadant Inc
1576,KAMN,Kaman Corp
1577,KAR,Kar Auction Services Inc
1578,KB,KB Financial Group Inc
1579,KBH,KB Home
1580,KBR,KBR Inc
1581,KDMN,Kadmon Holdings Llc
1582,KDP,Keurig Dr Pepper Inc
1583,KEM,Kemet Corp
1584,KEN,Kenon Holdings Ltd
1585,KEP,Korea Electric Power Corp
1586,KEX,Kirby Corp
1587,KEY,Keycorp
1588,KEY-I,Keycorp [Key/Pi]
1589,KEY-J,Keycorp [Key/Pj]
1590,KEY-K,Keycorp [Key/Pk]
1591,KEYS,Keysight Technologies Inc Comm
1592,KF,Korea Fund
1593,KFS,Kingsway Financial Services
1594,KFY,Korn/Ferry International
1595,KGC,Kinross Gold Corp
1596,KIM,Kimco Realty Corp
1597,KIM-L,Kimco Rlty Corp [Kim/Pl]
1598,KIM-M,Kimco Realty Corp Dep Shs Repstg 1/1000 Shs Cl M
1599,KIO,KKR Income Opportunities Fund
1600,KKR,KKR & Co. LP
1601,KKR-A,KKR & Co. Inc [Kkr/Pa]
1602,KKR-B,KKR & Co. Inc [Kkr/Pb]
1603,KL,Kirkland Lake Gold Ltd
1604,KMB,Kimberly-Clark Corp
1605,KMF,Kayne Anderson Midstream Energy Fund
1606,KMI,Kinder Morgan
1607,KMPR,Kemper Corp
1608,KMT,Kennametal Inc
1609,KMX,Carmax Inc
1610,KN,Knowles Corp
1611,KNL,Knoll Inc
1612,KNOP,Knot Offshore Partners LP
1613,KNX,Knight-Swift Transporation Inc
1614,KO,Coca-Cola Company
1615,KODK,Eastman Kodak
1616,KOF,Coca Cola Femsa S.A.B. DE C.V.
1617,KOP,Koppers Holdings Inc
1618,KOS,Kosmos Energy Ltd
1619,KR,Kroger Company
1620,KRA,Kraton Performance Polymers Inc
1621,KRC,Kilroy Realty Corp
1622,KREF,KKR Real Estate Finance Trust Inc
1623,KRG,Kite Realty Group Trust
1624,KRO,Kronos Worldwide Inc
1625,KRP,Kimbell Royalty Partners
1626,KSM,Scudder Strategic Municiple Income Trust
1627,KSS,Kohl's Corp
1628,KSU,Kansas City Southern
1629,KSU.P,Kansas City Southern [Ksu/P]
1630,KT,Korea Telecom Corp
1631,KTB,Kontoor Brands Inc [Ktb/I]
1632,KTF,Scudder Municiple Income Trust
1633,KTH,Lehman Abs Corp
1634,KTN,Lehman Abs Corp
1635,KTP,Lehman Abs Corp
1636,KW,Kennedy-Wilson Holdings Inc
1637,KWR,Quaker Chemical Corp
1638,KYN,Kayne Anderson MLP Investment Company
1639,L,Loews Corp
1640,LAC,Lithium Americas Corp
1641,LAD,Lithia Motors
1642,LADR,Ladder Capital Corp
1643,LAIX,Laix Inc ADR
1644,LAZ,Lazard Ltd
1645,LB,L Brands Inc
1646,LBRT,Liberty Oilfield Services Inc
1647,LC,Lendingclub Corp
1648,LCI,Lannett Co. Inc
1649,LCII,Lci Industries
1650,LDL,Lydall Inc
1651,LDOS,Leidos Holdings Inc
1652,LDP,Cohen & Steers Ltd Duration Prfd Income Fund
1653,LEA,Lear Corp
1654,LEAF,Leaf Group Ltd
1655,LEE,Lee Enterprises Inc
1656,LEG,Leggett & Platt Inc
1657,LEJU,Leju Holdings Ltd
1658,LEN,Lennar Corp
1659,LEN.B,Lennar Corp Cl B
1660,LEO,Dreyfus Strategic Municipals
1661,LEVI,Levi Strauss & Co. Cl A
1662,LFC,China Life Insurance Company Ltd
1663,LGC,Legacy Acquisition Corp
1664,LGC.U,Legacy Acquisition Corp [Lgc/U]
1665,LGC.W,Legacy Acquisition Corp WT [Lgc/W]
1666,LGF.A,Lions Gate Entertainment Corp Cl A
1667,LGF.B,Lions Gate Entertainment Corp Cl B
1668,LGI,Lazard Global Total Return and
1669,LH,Laboratory Corp of America Holdings
1670,LHC,Leo Holdings Corp Cl A
1671,LHC.U,Leo Holdings Corp
1672,LHC.W,Leo Holdings Corp WT [Lhc/W]
1673,LHX,L3Harris Technologies Inc
1674,LII,Lennox International
1675,LIN,Linde Plc
1676,LINX,Linx S.A. ADR
1677,LITB,Lightinthebox Holding Co. Ltd
1678,LL,Lumber Liquidators Holdings Inc
1679,LLY,Eli Lilly and Company
1680,LM,Legg Mason Inc
1681,LMHA,Legg Mason Inc
1682,LMHB,Legg Mason Inc
1683,LMT,Lockheed Martin Corp
1684,LN,Line Corp
1685,LNC,Lincoln National Corp
1686,LND,Brasilagro ADR
1687,LNN,Lindsay Corp
1688,LOMA,Loma Negra Comp Indu Argentina Sociedad ADR
1689,LOW,Lowe's Companies
1690,LPG,Dorian Lpg Ltd
1691,LPI,Laredo Petroleum Holdings Inc
1692,LPL,Lg Display Co. Ltd
1693,LPX,Louisiana-Pacific Corp
1694,LRN,K12 Inc
1695,LSI,Life Storage
1696,LTC,Ltc Properties
1697,LTHM,Livent Corp
1698,LTM,Latam Airlines Group S.A.
1699,LUB,Luby's Inc
1700,LUV,Southwest Airlines Company
1701,LVS,Las Vegas Sands
1702,LW,Lamb Weston Holdings Inc
1703,LXFR,Luxfer Holdings Plc
1704,LXP,Lexington Realty Trust
1705,LXP-C,Lexington Realty Trust [Lxp/Pc]
1706,LXU,Lsb Industries Inc
1707,LYB,Lyondellbasell Industries NV
1708,LYG,Lloyds Banking Group Plc
1709,LYV,Live Nation Entertainment
1710,LZB,La-Z-Boy Inc
1711,M,Macy's Inc
1712,MA,Mastercard Inc
1713,MAA,Mid-America Apartment Communities
1714,MAA-I,Mid Amer Apt Cmntys Inc [Maa/Pi]
1715,MAC,Macerich Company
1716,MAIN,Main Street Capital Corp
1717,MAN,Manpower Inc
1718,MANU,Manchester United Ltd
1719,MAS,Masco Corp
1720,MATX,Matson Inc
1721,MAV,Pioneer Muni High Income Advantage Trust
1722,MAXR,Maxar Technologies Ltd
1723,MBI,MBIA Inc
1724,MBT,Mobile Telesystems
1725,MC,Moelis
1726,MCA,Blackrock Muniyield California Insured Fund
1727,MCB,Metropolitan Bank Holding Corp
1728,MCC,Medley Capital Corp
1729,MCD,McDonald's Corp
1730,MCI,Massmutual Corporate Investors
1731,MCK,Mckesson Corp
1732,MCN,Madison/Claymore Covered Call & Equity Strategy
1733,MCO,Moody's Corp
1734,MCR,MFS Charter Income Trust
1735,MCS,Marcus Corp
1736,MCV,Medley Capital Corp
1737,MCX,Medley Capital Corp
1738,MCY,Mercury General Corp
1739,MD,Mednax Inc
1740,MDC,M.D.C. Holdings
1741,MDLA,Medallia Inc
1742,MDLQ,Medley Llc 7.25% Notes Due 2024
1743,MDLX,Medley Llc
1744,MDLY,Medley Management Inc
1745,MDP,Meredith Corp
1746,MDT,Medtronic Inc
1747,MDU,Mdu Res Group Inc
1748,MEC,Mayville Engineering Company Inc
1749,MED,Medifast Inc
1750,MEI,Methode Electronics
1751,MEN,Blackrock Munienhanced Fund
1752,MER-K,Bank of America Corp [Mer/Pk]
1753,MET,Metlife Inc
1754,MET-A,Metlife Inc [Met/Pa]
1755,MET-E,Metlife Inc [Met/Pe]
1756,MET-F,Metlife Inc 4.75% Prf Perpetual USD 25 1/1000Th
1757,MFA,MFA Financial Inc
1758,MFA-B,MFA Finl Inc [Mfa/Pb]
1759,MFA-C,MFA Financial Inc.
1760,MFA.U,Megalith Finl Acquisition Corp [Mfac.U]
1761,MFA.W,Megalith Finl Acquisition Corp WT [Mfac/W]
1762,MFAC,Megalith Financial Acquisition Corp Cl A
1763,MFC,Manulife Financial Corp
1764,MFD,Macquarie/First Trust Global
1765,MFG,Mizuho Financial Group
1766,MFGP,Micro Focus Intl Plc
1767,MFL,Blackrock Muniholdings Investment Quality Fund
1768,MFM,MFS Muni Income Trust
1769,MFO,MFA Financial Inc
1770,MFT,Blackrock Muniyield Investment Qualityfund
1771,MFV,MFS Special Value Trust
1772,MG,Mistras Group Inc
1773,MGA,Magna International
1774,MGF,MFS Government Markets Income Trust
1775,MGM,MGM Resorts International
1776,MGP,MGM Growth Properties Llc
1777,MGR,Affiliated Managers Group Inc
1778,MGU,Macquarie Global Infrastructure Total Return Fun
1779,MGY,Magnolia Oil & Gas Corp
1780,MH-A,Maiden Holdings Ltd [Mh/Pa]
1781,MH-C,Maiden Holdings Ltd [Mh/Pc]
1782,MH-D,Maiden Holdings Ltd [Mh/Pd]
1783,MHD,Blackrock Muniholdings Fund
1784,MHE,Massachusetts Health and Education Tax-Exempt TR
1785,MHF,Western Asset Muni High
1786,MHI,Pioneer Muni High Income Trust
1787,MHK,Mohawk Industries
1788,MHLA,Maiden Holdings Ltd 6.625% No
1789,MHN,Blackrock Muniholdings New York Quality Fund
1790,MHNC,Maiden Holdings North America
1791,MHO,M/I Homes
1792,MIC,Macquarie Infrastructure Company Trust
1793,MIE,Cohen & Steers MLP Income and
1794,MIN,MFS Intermediate Income Trust
1795,MIT-A,Ag Mtg Invt TR Inc [Mitt/Pa]
1796,MIT-B,Ag Mtg Invt TR Inc [Mitt/Pb]
1797,MIT-C,Ag Mtg Invt TR Inc [Mitt/Pc]
1798,MITT,Ag Mortgage Investment Trust
1799,MIXT,Mix Telematics Ltd
1800,MIY,Blackrock Muniyield Michigan Quality Fund
1801,MKC,Mccormick & Company Inc
1802,MKC.V,Mccormick & Co. Inc
1803,MKL,Markel Corp
1804,MLI,Mueller Industries
1805,MLM,Martin Marietta Materials
1806,MLP,Maui Land & Pineapple Company
1807,MLR,Miller Industries
1808,MMC,Marsh & Mclennan Companies
1809,MMD,Mainstay Defined Muni Opp Fund
1810,MMI,Marcus & Millichap
1811,MMM,3M Company
1812,MMP,Magellan Midstream Partners LP
1813,MMS,Maximus Inc
1814,MMT,MFS Multimarket Income Trust
1815,MMU,Western Asset Managed Municipals Fund
1816,MN,Manning & Napier Inc
1817,MNE,Blackrock Muni New York Intermediate Duration Fu
1818,MNK,Mallinckrodt Plc
1819,MNP,Western Asset Muni Partners Fund
1820,MNR,Monmouth Real Estate Investment Corp
1821,MNR-C,Monmouth Real Estate Invt Corp [Mnr/Pc]
1822,MNRL,Brigham Minerals Inc
1823,MO,Altria Group
1824,MOD,Modine Manufacturing Company
1825,MODN,Model N Inc
1826,MOG.A,Moog Inc Cl A
1827,MOG.B,Moog Inc Cl B
1828,MOGU,Mogu Inc ADR
1829,MOH,Molina Healthcare Inc
1830,MOS,Mosaic Company
1831,MOV,Movado Group Inc
1832,MPA,Blackrock Muniyield Pennsylvania Quality Fund
1833,MPC,Marathon Petroleum Corp
1834,MPLX,Mplx LP
1835,MPV,Massmutual Participation Investors
1836,MPW,Medical Properties Trust
1837,MPX,Marine Products Corp
1838,MQT,Blackrock Muniyield Quality Fund II
1839,MQY,Blackrock Muniyield Quality Fund
1840,MR,Montage Resources Corp
1841,MRC,Mrc Global Inc
1842,MRK,Merck & Company
1843,MRO,Marathon Oil Corp
1844,MS,Morgan Stanley
1845,MS-A,Morgan Stanley [Ms/Pa]
1846,MS-E,Morgan Stanley [Ms/Pe]
1847,MS-F,Morgan Stanley [Ms/Pf]
1848,MS-I,Morgan Stanley [Ms/Pi]
1849,MS-K,Morgan Stanley [Ms/Pk]
1850,MS-L,Morgan Stanley 4.875% Prf Perpetual USD 25 1/100
1851,MSA,Msa Safety Inc
1852,MSB,Mesabi Trust
1853,MSC,Studio City Intl Holdings Ltd ADR
1854,MSCI,MSCI Inc
1855,MSD,Morgan Stanley Emerging Markets Debt
1856,MSG,The Madison Square Garden Comp
1857,MSGN,Msg Networks Inc
1858,MSI,Motorola Solutions
1859,MSM,Msc Industrial Direct Company
1860,MT,Arcelormittal
1861,MTB,M&T Bank Corp
1862,MTD,Mettler-Toledo International
1863,MTDR,Matador Resources Company
1864,MTG,Mgic Investment Corp
1865,MTH,Meritage Corp
1866,MTL,Mechel Oao
1867,MTL.P,Mechel Pao [Mtl/P]
1868,MTN,Vail Resorts
1869,MTOR,Meritor Inc
1870,MTR,Mesa Royalty Trust
1871,MTRN,Materion Corp
1872,MTT,Western Asset Muni Defined Opportunity Trust Inc
1873,MTW,Manitowoc Company
1874,MTX,Minerals Technologies Inc
1875,MTZ,Mastec Inc
1876,MUA,Blackrock Muniassets Fund
1877,MUC,Blackrock Muniholdings California Quality Fund
1878,MUE,Blackrock Muniholdings Quality Fund II
1879,MUFG,Mitsubishi Ufj Financial Group Inc
1880,MUH,Blackrock Muniholdings Fund II
1881,MUI,Blackrock Muni Intermediate Duration Fund Inc
1882,MUJ,Blackrock Muniholdings New Jersey Insured Fund
1883,MUR,Murphy Oil Corp
1884,MUS,Blackrock Muniholdings Quality Fund
1885,MUSA,Murphy USA Inc
1886,MUX,Mcewen Mining Inc
1887,MVC,MVC Capital
1888,MVCD,MVC Capital Inc 6.25% Senior Notes Due 2022
1889,MVF,Munivest Fund
1890,MVO,Mv Oil Trust
1891,MVT,Blackrock Munivest Fund II
1892,MWA,Mueller Water Products
1893,MX,Magnachip Semiconductor Corp
1894,MXE,Mexico Equity and
1895,MXF,Mexico Fund
1896,MXL,Maxlinear Inc
1897,MYC,Blackrock Muniyield California Fund
1898,MYD,Blackrock Muniyield Fund
1899,MYE,Myers Industries
1900,MYF,Blackrock Muniyield Investment Fund
1901,MYI,Blackrock Muniyield Quality Fund III
1902,MYJ,Blackrock Muniyield New Jersey Fund
1903,MYN,Blackrock Muniyield New York Quality Fund
1904,MYOV,Myovant Sciences Ltd
1905,MZA,Muniyield Arizona Fund
1906,NAC,Nuveen California Divadv Fund
1907,NAD,Nuveen Divadv Fund
1908,NAN,Nuveen New York Divadv Fund
1909,NAT,Nordic American Tanker Shipping Ltd
1910,NAV,Navistar International Corp
1911,NAV-D,Navistar International Corp [Nav/Pd]
1912,NAZ,Nuveen Arizona Premium Fund
1913,NBB,Nuveen Build America Bond Fund
1914,NBHC,National Bank Holdings Corp
1915,NBR,Nabors Industries
1916,NBR-A,Nabors Industries Inc [Nbr/Pa]
1917,NC,Nacco Industries
1918,NCA,Nuveen California Muni Value Fund
1919,NCB,Nuveen California Muni Value Fund 2
1920,NCLH,Norwegian Cruise Ord
1921,NCR,NCR Corp
1922,NCV,Agic Convertible &
1923,NCV-A,Allianzgi Conv Income Fd [Ncv/Pa]
1924,NCZ,Agic Convertible & II
1925,NCZ-A,Allianzgi Conv Income Fd II [Ncz/Pa]
1926,NDP,Tortoise Energy Independence F
1927,NE,Noble Corp
1928,NEA,Nuveen Insured Tax-Free Advantage Fund
1929,NEE,Nextera Energy
1930,NEE-I,Nextera Energy Capital Hlds Inc [Nee/Pi]
1931,NEE-J,Nextera Energy Capital Hlds Inc [Nee/Pj]
1932,NEE-K,Nextera Energy Capital Hlds Inc [Nee/Pk]
1933,NEE-N,Nextera Energy Capital Hlds Inc [Nee/Pn]
1934,NEE-O,Nextera Energy Inc 4.872% Corporate Units
1935,NEE-P,Nextera Energy Inc
1936,NEM,Newmont Mining Corp
1937,NEP,Nextera Energy Partners LP
1938,NET,Cloudflare Inc Cl A
1939,NEU,Newmarket Corp
1940,NEV,Nuveen Enhanced Muni Value Fund
1941,NEW,Puxin Ltd
1942,NEWR,New Relic Inc
1943,NEX,Nextier Oilfield Solutions Inc.
1944,NEXA,Nexa Resources S.A.
1945,NFG,National Fuel Gas Company
1946,NFH,New Frontier Health Corp
1947,NFH.W,New Frontier Health Corp WT
1948,NFJ,Nfj Dividend Interest & Premium Strategy Fund
1949,NGG,National Grid Transco Plc
1950,NGL,Ngl Energy Partners LP
1951,NGL-A,Targa Resources Partners LP [Ngls/Pa]
1952,NGL-B,Ngl Energy Partners LP [Ngl/Pb]
1953,NGL-C,Ngl Energy Partners LP Perp Pfd Unit Cl C Fixed
1954,NGS,Natural Gas Services Group
1955,NGVC,Natural Grocers By Vitamin Cottage Inc
1956,NGVT,Ingevity Corp
1957,NHA,Nuveen Municipal
1958,NHF,Nexpoint Credit Strategies Fund
1959,NHI,National Health Investors
1960,NI,NiSource Inc
1961,NI-B,NiSource Inc [Ni/Pb]
1962,NID,Nuveen Intermediate Duration M
1963,NIE,Agic Equity & Convertible
1964,NIM,Nuveen Maturities Fund
1965,NINE,Nine Energy Service Inc
1966,NIO,Nio Inc
1967,NIQ,Nuveen Intermediate Duration Q
1968,NJR,Newjersey Resources Corp
1969,NJV,Nuveen New Jersey Muni Value Fund
1970,NKE,Nike Inc
1971,NKG,Nuveen Georgia Divadv Fund 2
1972,NKX,Nuveen Insured California Tax-Free
1973,NL,NL Industries
1974,NLS,Nautilus Group
1975,NLSN,Nielsen Holdings Plc
1976,NLY,Annaly Capital Management Inc
1977,NLY-D,Annaly Cap Mgmt Inc [Nly/Pd]
1978,NLY-F,Annaly Cap Mgmt Inc [Nly/Pf]
1979,NLY-G,Annaly Cap Mgmt Inc [Nly/Pg]
1980,NLY-I,Annaly Cap Mgmt Inc [Nly/Pi]
1981,NM,Navios Maritime Holdings Inc
1982,NM-G,Navios Maritime Hlds Inc [Nm/Pg]
1983,NM-H,Navios Maritime Hlds Inc [Nm/Ph]
1984,NMCO,Nuveen Municipal Credit Opportunities Fund
1985,NMFC,New Mountain Finance Corp
1986,NMFX,New Mountain Finance Corp
1987,NMI,Nuveen Muni
1988,NMK-B,Niagara Mohawk Power Corp [Nmk/Pb]
1989,NMK-C,Niagara Mohawk Power Corp [Nmk/Pc]
1990,NMM,Navios Maritime Partners LP
1991,NMR,Nomura Holdings Inc ADR
1992,NMS,Nuveen Minnesota Municipal Inco
1993,NMT,Nuveen Massachusetts Premium Fund
1994,NMY,Nuveen Maryland Premium Fund
1995,NMZ,Nuveen Muni High Income Opportunity
1996,NNA,Navios Maritime Acquisition Corp
1997,NNI,Nelnet Inc
1998,NNN,National Retail Properties
1999,NNN-F,National Retail Pptys Inc [NNn/Pf]
2000,NNY,Nuveen New York Muni Value Fund
2001,NOA,North American Energy Partners
2002,NOAH,Noah Holdings Ltd
2003,NOC,Northrop Grumman Corp
2004,NOK,Nokia Corp
2005,NOM,Nuveen Missouri Premium Fund
2006,NOMD,Nomad Foods Ltd
2007,NOV,National-Oilwell
2008,NOVA,Sunnova Energy International Inc
2009,NOW,Servicenow Inc
2010,NP,Neenah Paper
2011,NPK,National Presto Industries
2012,NPN,Nuveen Pennsylvania Muni Value Fund
2013,NPO,Enpro Industries
2014,NPTN,Neophotonics Corp
2015,NPV,Nuveen Virginia Premium Fund
2016,NQP,Nuveen Pennsylvania Investment
2017,NR,Newpark Resources
2018,NREF,Nexpoint Real Estate Finance Inc
2019,NRG,NRG Energy
2020,NRGX,Neurologix Inc
2021,NRK,Nuveen Insured New York Tax-Free
2022,NRP,Natural Resource Partners LP
2023,NRT,North European Oil Royality Trust
2024,NRUC,National Rural Utilities Coop Finance Corp 5.500
2025,NRZ,New Residential Investment Corp
